iter	CrossEntropy
0	0.6714046796
1	0.651110029322	0.632128821633	0.61445307644	0.598052466555	0.582835395866	0.568605538977	0.555374531588	0.543012243199	0.5315878171110	0.5207862758111	0.5108905699112	0.5016780197113	0.4930394814114	0.4850394615115	0.4775970216116	0.4706711817117	0.4641893718118	0.4581814611919	0.4525836922020	0.4473242022121	0.4424228722222	0.4378925222323	0.4336687242424	0.429725025	025	0.425994126	026	0.422532827	027	0.4193373228	0.4163067683229	0.4134818303330	0.4108227589331	0.4083447079332	0.4060616117333	0.4039350525334	0.4019168572335	0.4000691778336	0.3982986087337	0.3966896311338	0.3951849695339	0.3936997244040	0.3923855474141	0.3911563754242	0.3899914634343	0.38891403
44	0.3879012098
45	0.3869590592
46	0.3860436365
47	0.3759629228
48	0.3752785478
49	0.366208837
50	0.3578752172
51	0.3507428016
52	0.344694139
53	0.3390829864
54	0.3327715977
55	0.3271427252
56	0.3219844198
57	0.3172022102
58	0.3127521006559	0.3092339024660	0.3060040398661	0.3033271593662	0.3002330749663	0.2970864236664	0.2944286171665	0.2917689885666	0.2896282156667	0.2876767619668	0.2855170772669	0.2833868664770	0.281749525
71	0.2801428168
72	0.278600953
73	0.2771256594
74	0.2755542822
75	0.2741660817776	0.2732322025777	0.2722530608778	0.27108123
79	0.2699697158
80	0.2691314582
81	0.268151019
82	0.2673950193
83	0.2664852642
84	0.2655805494
85	0.2648680839
86	0.2641440129
87	0.2636252925
88	0.2629781044
89	0.2624158604
90	0.2619693013
91	0.2614347227
92	0.2608750603
93	0.2604530419
94	0.2599410508
95	0.2587895059
96	0.2584240266
97	0.2576280093
98	0.2568226654
99	0.25649027921100	0.25567511551101	0.25503774841102	0.25460694731103	0.25397328841104	0.253316236
105	0.2527425598
106	0.2521667337
107	0.251749464
108	0.251330563
109	0.250692233
110	0.2502522917
111	0.2497587431
112	0.2494240023
113	0.2489175744
114	0.2487299927
115	0.2483865377
116	0.2480626799
117	0.2478899137
118	0.2474667832
119	0.2472794171
120	0.2472706392
121	0.2470362179
122	0.2463522687
123	0.2458396821
124	0.2457323999
125	0.2457148597
126	0.2454216054
127	0.244965044
128	0.2449566486
129	0.2447053512
130	0.2441900856
131	0.2438960493
132	0.2434634236
133	0.243211896
134	0.2430548196
135	0.2429320838
136	0.2425155116
137	0.2422537518
138	0.241924387
139	0.2416141975
140	0.2413244075
141	0.2410332379
142	0.2408314301
143	0.2404626013
144	0.2402576627
145	0.240100372
146	0.2397853472
147	0.2395037916
148	0.2391950561
149	0.239033394
150	0.2390130431
151	0.2386443331
152	0.2382934173
153	0.2379767284
154	0.2376749397
155	0.2374729408
156	0.2372312731
157	0.2370238337
158	0.2369930199
159	0.2367285042
160	0.2365041939
161	0.236370054
162	0.2362071745
163	0.2360702548
164	0.235828751
165	0.2357246259
166	0.2357117192
167	0.2357080848
168	0.2353023714
169	0.2351271575
170	0.2351179103
171	0.2349162306
172	0.2347360159
173	0.2346071159
174	0.2346006403
175	0.2344023749
176	0.234384507
177	0.2343818856
178	0.2341194912
179	0.234114812
180	0.2340837566
181	0.2338858155
182	0.2337515312
183	0.2337485718
184	0.2333295755
